"Yeah, I hear that they got some newbie to go scrounging around the Wanamingo mine for an old
 part.","Sí, he oído que tienen a alguna novata rebuscando cerca de la mina Wanamingo una vieja
 pieza."
"Yeah, well, that newbie is me. Got a problem with that?","Sí, bueno, esa novata soy yo. ¿Tienes algún problema con eso?"
"Hello there, friend. Come to see the critter contests?","Hola, amiga. ¿Vienes a ver los concursos de criaturas?"
"Ah, I see. You must be new in town. Well, I tell you what. I'll make a special bet for you during tomorrow's fights. Would you like me to do that for you?","Ah, ya veo. Debes de ser nueva en la ciudad. Vale, te diré qué haremos. Te haré una apuesta especial durante los combates de mañana. ¿Quieres que lo haga por ti?"
I'm ready to place my bet.,Estoy lista para hacer mi apuesta.
Here you go champ. Here's your winnings. That's the last fight today. Come back tomorrow if you want more action.,"Aquí tienes, campeona. Toma tus ganancias. Esa era la última pelea por hoy. Vuelve mañana si buscas más acción."
"Ok, thanks.","Muy bien, gracias."
Tanker,Tanker
Spud,Patata
"Go on now. Git, ya dang idjit!","Lárgate de aquí. ¡Venga, jodida idiota!"
"Hello there, friend. Name's Josh Laurance. I own this place.","Hola, amiga. Me llamo Josh Laurance. Soy el dueño de este lugar."
"God-damn Martians. And I mistook you for a damn tribal. Well, don't I feel stupid. Well,
 cannibals is cannibals in my book.","Jodidos marcianos. Y yo que te confundí con una maldita tribal. Bien, no me siento estúpido. Al final,
 los caníbales siempre son caníbales en mi opinión."
"You're still a damn idiot. But life goes on, for the rest of us. Now just what the hell do you
 want?","Sigues siendo una jodida idiota. Pero la vida sigue para el resto de nosotros. Y ahora dime simplemente qué demonios
 quieres."
Where's San Fran from here?,¿Cómo se llega a San Fran desde aquí?
"Hmm, I guess I'm not that tired. Let me ask you about something else. ","Hmm, supongo que no estoy tan cansada. Deja que te pregunte por otro tema. "
"You're one of Fannie's regulars, aren't you? Why don't you go talk to her. She's in back someplace.","Eres una de los habituales de Fannie, ¿verdad? ¿Por qué no hablas con ella? Está por alguna parte."
"Listen. You're a jinx here. After what happened to Fannie Mae, none of my other girls has much
 interest in being with you...and I cain't say as I blame 'em.","Oyeme. Aquí se te considera una gafe. Después de lo que le sucedió a Fannie Mae, ninguna de mis otras chicas tiene mucho
 interés en estar contigo... y no puedo culparlas por ello."
"You and Fannie already worked things out. Why don't you go see her. She's right in back
 someplace.","Fannie y tú ya habéis estado juntas. ¿Por qué no vas a verla? No debe estar
 muy lejos."
"So you're the sucker giving my Fannie all that money. I wouldn't do that if I were you. You're
 not helping her like you think you are.","Así que tú eres la tonto que le está dando a mi Fannie todo ese dinero. Yo no lo haría si fuera tú. No le
 estás ayudando como crees que lo haces."
"What I mean is that Fannie's got a problem and money isn't the answer for it. I hate to break
 your heart, but Fannie's just playing you for a sucker. She just wants money so that she can buy Jet.
 Too damn much Jet.","Lo que quiero decir es que Fannie tiene un problema y el dinero no es la respuesta. Odio romperte
 el corazón, pero Fannie sólo está jugando contigo como una tonta. Sólo quiere dinero para poder comprar Jet.
 Demasiado jodido Jet."
"Sure do. Everyone likes gold. You should talk to the caravan master, James Hoffy, if you're real
 curious about it.","Claro que sí. A todo el mundo le gusta el oro. Deberías hablar con el organizador de caravanas, James Hoffy, si estás realmente
 interesada en ello."
"Thanks, I'll do that. Goodbye.","Gracias, eso haré. Adiós."
"I bet you do. Sorry, but I'm too busy right now. Goodbye.","Apuesto a que sí. Lo siento, pero estoy ocupada ahora mismo. Adiós."
"Well, it isn't a cakewalk, sweetheart. But you look like someone who can take care of
 themselves. Anyhow, you bring me the chip and you get the cash. Interested?","Bueno, no es un juego de niños, querida. Pero pareces alguien que puede cuidarse de
 sí misma. De todas formas, me traes el chip y consigues el dinero. ¿Te interesa?"
"Think you'll get a better offer? Think again, pal. I don't think you'll find a better offer. But
 I guess it's your time.","¿Crees que vas a conseguir una oferta mejor? Piénsalo de nuevo, amiga. No creo que eso vaya a suceder. Pero
 supongo que es tu tiempo."
"Move along, little doggy.","Sigue caminando, cachorrita."
"Howdy there. My name's Earl Marion. I'm the Sheriff in these here parts. Sounds downright
 picturesque, don't it? Well, that's my job.","Muy buenas. Mi nombre es Earl Marion. Soy el sheriff de estos pagos. Suena francamente
 pintoresco, ¿verdad? Bueno, pues ese es mi trabajo."
How'd you know I'm a Ranger?,¿Cómo sabías que soy una Ranger?
"You did fine work with that Widow Rooney. Here's your $100. You ready for the next job? I can
 sure use the help.","Hiciste un buen trabajo con lo de la viuda Rooney. Aquí están tus 100 dólares. ¿Estás lista para el siguiente trabajo? Me vendría
 bien tu ayuda."
"You did a real nice thing for the Widow Rooney. Made friends all around and kept the peace.
 Thanks. You ready for another job? I think you've got a real knack for it.","Hiciste algo realmente bueno por la viuda Rooney. Has hecho amigos por todas partes y mantenido la paz.
 Gracias. ¿Lista para otro trabajo? Creo que tienes un auténtico don para él."
"You sure didn't do much of a job in breaking up that bar fight. Can't pay you for something you
 didn't rightly do. But I've still got a bum leg. You ready for another job?","No es que hicieras un gran trabajo interrumpiendo esa pelea de bar. No puedo pagarte por algo que
 no hiciste bien. Pero aún tengo una pierna hecha polvo. ¿Estás preparada para otro trabajo?"
"Putting those Morningstar miners in jail seemed to work, but Dan McGrew, their boss, isn't going
 to be too happy about it. Here's your money. Ready for your next job?","Poner a esos mineros de la Morningstar entre rejas será suficiente, pero Dan McGrew, su jefe, no estará
 demasiado contento por ello. Aquí está tu dinero. ¿Lista para tu siguiente trabajo?"
"Marge is gonna be real ticked off with you for putting her miners in the pokey. It worked, though.
 Here's your money. Ready for another job?","Marge te va a echar una soberana bronca por poner a la sombra a sus mineros. Pero funcionó.
 Aquí está tu dinero. ¿Lista para otro trabajo?"
"I'm not sure that putting every damn miner in town into my jail was the best way to solve that
 problem. I guess it worked, though. Here's your money. Ready for your next job?","No estoy seguro de que meter a cada maldito minero de la ciudad en mi cárcel fuera la mejor forma de resolver este
 problema. Aunque supongo que funcionó. Aquí está tu dinero. ¿Lista para otro trabajo?"
"Talk about spanking a baby with an axe. You went overboard with that one. You're only getting
 half-pay for that. Maybe it'll learn you something. Nobody needs to get killed over a bar brawl. You
 better do better on the next job. You ready?","Hablando de matar moscas a cañonazos. Se te ha ido la mano con esto. Sólo recibirás la mitad
 del pago por eso. Quizá así aprendas algo. Nadie tiene que morir por una pelea de bar. Espero
 que lo hagas mejor en el siguiente trabajo. ¿Estás lista?"
"Thank god you put that murdering bastard Hakeswill away. We'll show him a bit of justice - and
 then we'll hang him. Well done. Here's your money. Ready for one more job?","Gracias a Dios que pillaste a ese asesino hijoputa de Hakeswill. Le enseñaremos un poco de justicia... y
 luego le colgaremos. Bien hecho. Aquí está tu dinero. ¿Lista para un trabajo más?"
"I don't doubt that the bastard that cut that gal deserved what you gave him, but you sure didn't
 make any friends with the miners by killing him. They do so enjoy seeing a good trial afore a nice
 hangin'. Still, you got the job done. Here's your money. Ready for the next job?","No dudo que ese hijoputa que rajó a la chica se mereciera lo que le diste, pero seguro que no hiciste
 ningún amigo entre los mineros al matarlo. Disfrutan viendo un buen juicio antes de un buen
 ahorcamiento. Aún así, has hecho el trabajo. Aquí está tu dinero. ¿Lista para el próximo?"
"His name's Morton, and they call him Frog 'cause he croaks people. Ready to go get 'im?","Se llama Morton, y le llaman Rana porque es un bicho rastrero. ¿Lista para ir a por él?"
"Hey, I didn't make that one up - he did. With puns that bad, I'd say that gives you just one
 more reason to kill 'im. You up for it?","Oye, que yo no le puse el nombre: fue él mismo. Con juegos de palabras tan malos, yo diría que eso te da una razón
 más para matarlo. ¿Estás lista para ello?"
"This ain't a perfect world, chum. Sometimes you've got to make the best of a bad situation. Just
 turns out that bad people may be best bet for Redding. Not everyone sees it that way, though.","Este no es un mundo perfecto, compañera. A veces tienes que quedarte con lo mejor de una mala situación. Y
 resulta que la mala gente puede ser la mejor apuesta para Redding. Aunque no todo el mundo lo ve así, claro."
"I could, if I wanted too. But I'm too busy to mess with you right now.","Podría, si quisiera hacerlo. Pero estoy demasiado ocupada como para encargarme de ti ahora mismo."
"I'm not sure what you mean, but I don't have time to find out right now. Goodbye.","No estoy segura de lo que quieres decir, pero no tengo tiempo para averiguarlo ahora mismo. Adiós."
"Who wouldn't? I think I'll try to find some of that gold myself. Thanks, and goodbye.","¿Quién no lo haría? Creo que voy a intentar encontrar yo misma algo de ese oro. Gracias, y adiós."
"Uh, there were some things missing from the caravan. NCR bylaws don't allow me to pay a
 thief. Sorry.","Eh, algunas cosas de la caravana desaparecieron. Los estatutos de la RNC no me permiten pagar a una
 ladrona. Lo siento."
You lousy bastard! Nobody could have done a better job. You'll regret stiffing me. Goodbye.,¡Bastardo! Nadie podría haber hecho un trabajo mejor. Lamentarás haberme estafado. Adiós.
"I'd hate to see you kicked out. Why don't you let me pay your back rent for you? I have little
 use for money. I'm the Chosen One.","Odiaría ver como te echan. ¿Por qué no dejas que pague tu renta por ti? Tengo algo
 de dinero. Soy la Elegida."
"You know, I do feel a bit woozy after that last fight. Maybe I should think about this a
 bit more. Goodbye.","Verás, me siento un poco mareada después de la última pelea. Quizá debería pensar sobre esto
 un poco más. Adiós."
"Thank you so much. You ARE the Chosen One! Thank you. I just can't wait to see the look on that
 Ascorti's puss when I give him the money.","Muchísimas gracias. ¡ERES la Elegida! Te lo agradezco. No puedo esperar a ver la mirada en la jeta de
 Ascorti cuando le dé el dinero."
You've been warned. Now get the hell out of here.,Has sido advertida. Ahora largo de aquí.
"You need a guard, huh?","¿Necesitas un guardia, ¿eh?"
I said get out. Are you deaf as well as yellow?,Te he dicho que te largues. ¿Estás igual de sorda que de morena?
"I respect thieves...but only good ones. You're nothing but a punk. Get out of here before I
 have to hurt you.","Respeto a los ladrones... pero solo a los buenos. Y tú no eres nada más que una matona. Largo de aquí antes de que
 tenga que hacerte daño."
